"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: randomSourceName","Param: theta"
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17169.822951,102.499385,"us/op",SPLIT_MIX_64,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19452.059273,118.492104,"us/op",KISS,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19340.983529,80.860124,"us/op",KISS,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,22107.853419,1082.947154,"us/op",WELL_1024_A,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21991.195435,969.745457,"us/op",WELL_1024_A,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,23822.337299,971.878924,"us/op",WELL_44497_B,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,23174.005628,1100.804384,"us/op",WELL_44497_B,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,13563.547766,78.548634,"us/op",SPLIT_MIX_64,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16353.829704,123.259218,"us/op",SPLIT_MIX_64,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16298.199406,59.189661,"us/op",SPLIT_MIX_64,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,14291.603202,111.531474,"us/op",KISS,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17704.011407,699.214563,"us/op",KISS,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17324.679903,115.880143,"us/op",KISS,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,15808.655997,104.818048,"us/op",WELL_1024_A,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18370.777739,123.315783,"us/op",WELL_1024_A,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18610.575813,138.459550,"us/op",WELL_1024_A,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17279.266611,70.339513,"us/op",WELL_44497_B,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21150.557067,147.689045,"us/op",WELL_44497_B,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21547.543622,180.974745,"us/op",WELL_44497_B,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,13482.875333,99.989430,"us/op",SPLIT_MIX_64,0.123
