"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mean","Param: randomSourceName"
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,96319.811327,38.523551,"us/op",35.7,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,131929.351753,62.012028,"us/op",5.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,132385.117380,69.175610,"us/op",5.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,29444.443566,16.109640,"us/op",5.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,402595.574267,120.204245,"us/op",20.1,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,363190.692240,530.851125,"us/op",20.1,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,62055.258946,78.579334,"us/op",20.1,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,614864.874220,11818.902829,"us/op",35.7,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,614834.489680,1954.238148,"us/op",35.7,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_WrapperPoissonSampler","avgt",1,50,96920.092602,16.714512,"us/op",35.7,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,18026.614990,548.548128,"us/op",5.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,18062.715472,9.790886,"us/op",5.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,8874.803670,429.632442,"us/op",5.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,41473.402553,531.072305,"us/op",20.1,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,42309.218918,19.256338,"us/op",20.1,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,11619.434055,488.756415,"us/op",20.1,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,66373.770623,143.595427,"us/op",35.7,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,68303.788991,46.623839,"us/op",35.7,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_PoissonSampler","avgt",1,50,15192.943637,415.524902,"us/op",35.7,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,17361.734425,10.748913,"us/op",5.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,17156.123690,12.628779,"us/op",5.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,7002.288684,23.960194,"us/op",5.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,40695.762480,72.090737,"us/op",20.1,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,41820.362972,1340.477306,"us/op",20.1,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,9912.700661,9.959159,"us/op",20.1,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,65832.545539,35.593148,"us/op",35.7,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,66593.522917,131.144936,"us/op",35.7,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_SmallMeanPoissonSampler","avgt",1,50,13876.854137,6.193764,"us/op",35.7,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,18332.667271,10.384068,"us/op",5.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,18532.803970,237.759879,"us/op",5.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,7568.909588,3.769816,"us/op",5.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,45299.514445,15.761156,"us/op",20.1,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,45365.739263,13.489749,"us/op",20.1,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,10543.457830,290.513793,"us/op",20.1,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,66000.073514,49.011836,"us/op",35.7,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,66624.795655,96.710554,"us/op",35.7,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanSingleUse_WrapperPoissonSampler","avgt",1,50,14293.650400,7.914348,"us/op",35.7,SPLIT_MIX_64
